Prozessschritt,Hersteller,Beschreibung,Leistung,Einheit,Durchsatzleistung,Einheit2,Emissionen,Einheit3,Strommix Deutschland,Einheit42,Andere Betriebsmittel,Über-Kategorie,Unter-Kategorie,Kunststoffe,Kommentare,Quellen,,,
Sacköffner,BRT HARTNER,BO 13,36,kW,10000,kg/h,0.0013176,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Sacköffner,Leichtverpackungen,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Sacköffner,BRT HARTNER,BO 13,36,kW,24000,kg/h,0.000549,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Sacköffner,Hausmüll,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Sacköffner,BRT HARTNER,BO 17,43,kW,13000,kg/h,0.001210615385,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Sacköffner,Leichtverpackungen,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Sacköffner,BRT HARTNER,BO 17,43,kW,36000,kg/h,0.0004371666667,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Sacköffner,Hausmüll,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Sacköffner,BRT HARTNER,BO 23,52,kW,20000,kg/h,0.0009516,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Sacköffner,Leichtverpackungen,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Sacköffner,BRT HARTNER,BO 23,52,kW,50000,kg/h,0.00038064,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Sacköffner,Hausmüll,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Ballenauflöser,HERBOLD,BA 63-130-2,24.2,kW,2000,kg/h,0.0044286,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Ballenauflöser,,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/43-Ballenaufloeser/Herbold-Meckesheim-Infoblatt-Ballenaufloeser_DE.pdf,,,
Ballenauflöser,HERBOLD,BA 63-130-2,30,kW,3000,kg/h,0.00366,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Ballenauflöser,,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/43-Ballenaufloeser/Herbold-Meckesheim-Infoblatt-Ballenaufloeser_DE.pdf,,,
Ballenauflöser,BRT HARTNER,BB,22,kW,10000,kg/h,0.0008052,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Ballenauflöser,,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Ballenauflöser,AMIS,AR2,44,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Öffnen, Auflösen",Ballenauflöser,,,https://www.amis.de/maschine/amis-2-schnecken-ballenaufloeser-ar2/,,,
Ballenpresse,BOA,CONTINETTE - klein,22,kW,4000,kg/h,0.002013,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Agglomerieren, Verdichten",Ballenpresse,,,https://www.boarecycling.com/de/products/continette-de/,,,
Ballenpresse,BOA,BASELINE - mittel,23.5,kW,3500,kg/h,0.002457428571,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Agglomerieren, Verdichten",Ballenpresse,,,https://www.boarecycling.com/de/products/baseline-de/,,,
Ballenpresse,BOA,S-Serie,99.5,kW,8000,kg/h,0.004552125,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Agglomerieren, Verdichten",Ballenpresse,,,https://www.boarecycling.com/de/products/s-serie-de/,,,
Ballenpresse,BOA,IMPRESS M 60,84.6,kW,8000,kg/h,0.00387045,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Agglomerieren, Verdichten",Ballenpresse,,,https://www.boarecycling.com/de/products/m-serie-de/,,,
Ballenpresse,BOA,IMPRESS M 75,100.6,kW,8000,kg/h,0.00460245,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Agglomerieren, Verdichten",Ballenpresse,,,https://www.boarecycling.com/de/products/m-serie-de/,,,
Ballenpresse,BOA,IMPRESS D 225,479,kW,24000,kg/h,0.00730475,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,"Agglomerieren, Verdichten",Ballenpresse,,,https://www.boarecycling.com/de/products/d-serie-de/,,,
Entdrahter,BRT HARTNER,BO,15,kW,87000,kg/h,0.00006310344828,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Enddrahter,,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Vibrationssiebmaschine,S&F,AVS-50,1.3,kW,450,kg/h,0.001057333333,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Vibrationssiebmaschine,,,https://www.sf-gmbh.de/de/vibrationssiebmaschinen.html,,,
Vibrationssiebmaschine,S&F,AVS-150,3.2,kW,1200,kg/h,0.000976,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Vibrationssiebmaschine,,,https://www.sf-gmbh.de/de/vibrationssiebmaschinen.html,,,
Vibrationssiebmaschine,S&F,AVS-250,5,kW,2250,kg/h,0.0008133333333,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Vibrationssiebmaschine,,,https://www.sf-gmbh.de/de/vibrationssiebmaschinen.html,,,
Schwingsiebmaschine,S&F,ASM-200,2.2,kW,1200,kg/h,0.000671,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Schwingsiebmaschine,,,https://www.sf-gmbh.de/de/schwingsiebmaschinen.html,,,
Schwingsiebmaschine,S&F,ASM-400,3,kW,1800,kg/h,0.00061,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Schwingsiebmaschine,,,https://www.sf-gmbh.de/de/schwingsiebmaschinen.html,,,
